Fecha,BMV: AMX L,BMV: CEMEX CPO,BMV: FEMSA UBD,BMV: GAP B,BMV: GRUMA B,BMV:AUTLAN B,BMV:GFNORTE O,BMV:GISSA A,BMV:HERDEZ *,BMV:VITRO A,Z: CETES,BMV: NAFTRAC
8/24/2012,16.98,8.7453,109.9,52.8,36.4,13.21782,68.65,16.1,31.45,16.5,0.924622956,40.189999
8/31/2012,16.79,8.11242,111.8,52.99,35.9,13.18812,67.53,16.37,31.4,17.9,0.924965517,39.470001
9/7/2012,16.41,8.6138,112.49,54.05,33.9,13.71287,69.01,17.95,31.93,16.32,0.925308204,40.080002
9/14/2012,16.31,8.7453,116.14,52.55,35.5,14.20792,72.18,20.35,32.14,15.73,0.925651019,40.689999
9/21/2012,16.43,8.959,118.45,51.38,35.1,14.46535,69.92,21,33.33,16,0.925993961,40.369999
9/28/2012,16.9,8.80284,118.97,54.1,36.4,14.29703,72.8,20.4,33.14,15.7,0.92633703,40.84
10/5/2012,16.65,9.54257,122,54.5,37.9,13.40594,77.75,20.3,34.79,16.5,0.926680226,41.939999
10/12/2012,16.99,9.35353,120,55.71,36.6,13.33663,76.95,21,35.19,16.8,0.927023549,41.68
10/19/2012,16.71,9.48504,123.53,60.89,38,13.36634,73.7,21.74,36.47,16.77,0.927366999,42.400002
10/26/2012,16.56,9.69052,119.24,61.21,38.59,13.38614,72.4,23.45,35.84,17.29,0.927710576,41.84
11/2/2012,15.73,10.05217,118.18,62.13,38.09,13.29703,73.45,23.45,35.51,19.1,0.928054281,41.84
11/9/2012,15.33,9.39462,117.1,64.79,36.88,12.86139,70.81,23.3,36.03,18.95,0.928398113,40.66
11/16/2012,15.73,9.29599,122.28,64.49,36.5,12.89109,72.07,23.4,36.11,18.7,0.928742073,40.830002
11/23/2012,15.29,9.73161,127,65.58,37.75,12.77228,74.29,24,36.1,18.19,0.92908616,41.939999
11/30/2012,14.8,9.49326,127.18,66.5,36.59,12.67327,74.39,23.95,36.3,17.18,0.929430374,41.959999
12/7/2012,15.17,9.59189,128.35,68.15,37.17,12.55446,79.24,23.44,36.08,17,0.929774716,42.799999
12/14/2012,15,9.66586,126.08,69.15,38.89,12.71287,81.77,24.25,38.48,16.22,0.930119186,43.049999
12/21/2012,15,10.43025,129.01,73.17,39.03,13.45545,81.51,24.25,39.49,16.2,0.930463783,43.619999
12/28/2012,15.44,10.42203,131.42,73.64,39.3,13.31683,83.81,24.4,39.6,16.75,0.930808508,43.66
1/4/2013,15.54,10.84122,129.52,74.84,39.99,13.31683,84.06,25.5,40.89,16.79,0.93115336,44.52
1/11/2013,15.55,10.92341,134,75.65,42.7,14.05941,85.17,25.3,40.9,18.99,0.93149834,44.860001
1/18/2013,15.87,10.80834,135.37,77.94,43.98,13.84158,89.5,27.75,40.16,18.98,0.931843448,45.200001
1/25/2013,16.2,11.18643,138.45,79.02,43.36,13.75248,89.78,29.99,39.96,18.5,0.932188684,45.52
2/1/2013,16,11.38369,139.99,79.36,42.35,13.83168,87.69,30.5,40.31,20.84,0.932534048,45.77
2/8/2013,14.27,10.91519,139.08,79.13,41.83,13.35644,87.9,30.1,39.72,22,0.93287954,45.07
2/15/2013,13.96,11.42478,140.5,80.19,41.4,12.46535,87,30,38.62,26.3,0.93322516,44.18
2/22/2013,13.35,10.85766,145.14,79.7,43.35,12.67327,89.89,31.48,40.33,29,0.933570908,43.869999
3/1/2013,13.61,11.55629,140.08,78.69,44.84,11.17822,92.67,30.5,39.43,31.68,0.933916784,43.970001
3/8/2013,11.64,12.38644,138.95,78,47.86,10.9802,90.35,30.14,40.3,35.3,0.934262788,44.290001
3/15/2013,12.58,12.73165,139.28,67.9,52.73,10.88119,98.3,29.91,42.38,30,0.93460892,42.650002
3/22/2013,13.09,12.45219,133.15,69.21,56.45,10.61386,95.01,29.74,43.12,30.25,0.934955181,42.68
3/29/2013,12.35,12.35356,138.97,72.82,54.61,10.77228,98.68,28.7,45.4,30.85,0.93530157,42.68
